,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Unnamed: 0,24 hour Front Desk,Airconditioning,Airport Shuttle,Airport Shuttle (free),BBQ facilities,Bar,Beach front,Daily maid service,Designated Smoking Area,Elevator,Family Rooms,Fitness Room,Free Parking,Free WiFi Internet Access Included,Garden,Heating,Hot Tub,Laundry,Luggage storage,Non Smoking Rooms,Parking (fee required),Pets allowed,Restaurant,Room-service,Rooms/Facilities for Disabled,Spa & Wellness Centre,Swimming pool,Swimmingpool Indoor,Terrace,Wireless Lan,cost,hotels_star,kolvo_udobstv,name,otzivi,rating,site,Битцевский Лесопарк,Большой театр,ВТБ Арена - Стадион Динамо,ГУМ,Главный ботанический сад РАН,Измайловский Кремль,Коломенское,Красная площадь,Кремль,Национальный парк Лосиный остров,Нескучный сад,Николо-Угрешский монастырь,Открытие Арена - Спартак,Парк Зарядье,Спортивный комплекс Снеж.ком,Спорткомплекс Олимпийский,Стадион Лужники,Третьяковская галерея,Улица Арбат,Храм Христа Спасителя
izmailovo-alpha.ru.html,,,1,,,1,,,,,,1,,1,,,,,,1,1,,1,,,,,,,,3470,4,7,Гостиница Альфа Измайлово,14727," 8,6 ",izmailovo-alpha.ru.html,,"8,8","11,9","8,9",,,,9,"9,3",,,,,"8,6",,"7,7","14,7","9,7","10,7",
izmailovo-vega.ru.html,,,,,,1,,,,,1,1,,1,,,,,,1,1,1,,,,,,,,,3200,4,7,,9292," 8,9 ",izmailovo-vega.ru.html,,"8,7","11,7","8,8",,,,"8,9","9,2",,,,,"8,6",,"7,6","14,7","9,7","10,7",
crowne-plaza-moscow-world-trade-centre.ru.html,,,1,,,1,,,,,,,1,1,,,,,,1,,1,,,,,1,,,,7560,5,7,Crowne Plaza Moscow World Trade Centre,5767," 8,8 ",crowne-plaza-moscow-world-trade-centre.ru.html,,"3,9","4,1",4,,,,"3,9","3,8",,"4,7",,,"4,5",,,"4,3","4,2","2,3",
radisson-slavyanskaya-business-center.ru.html,,,,,,1,,,,,,1,,1,,,,,,1,1,,,,,1,1,,,,4460,4,7,Рэдиссон Славянская Отель и Бизнес Центр,8506," 8,3 ",radisson-slavyanskaya-business-center.ru.html,,"3,7","5,5","3,6",,,,"3,5","3,3",,"3,1",,,"3,9",,,"3,1","3,3","1,8",
azimut-smolenskaya-moscow.ru.html,,,1,,,1,,,,,1,,,1,,,,,,1,1,,,,,1,,,,,5100,4,7,AZIMUT Отель Смоленская,5907," 8,9 ",azimut-smolenskaya-moscow.ru.html,,"2,9","5,2","2,8",,,,"2,6","2,4",,"3,4",,,"3,1",,"4,8","3,8","2,6",,
prints-park-otiel-prince-park.ru.html,,,1,,,1,,,,,1,1,1,1,,,,,,1,,,,,,,,,,,3910,4,7,Принц Парк Отель,4379," 8,2 ",prints-park-otiel-prince-park.ru.html,,"17,1",,"16,6",,,"11,4","16,6","16,3",,"11,9",,,"16,5",,,"11,1","15,3","15,5",
azimut-hotel-olympic-moscow.ru.html,,,1,,,1,,,,,1,,,1,,,,,,,1,,,,,1,1,,,,4250,4,7,AZIMUT Отель Олимпик Москва,4225," 8,9 ",azimut-hotel-olympic-moscow.ru.html,,"2,8","4,1","3,4",,8,,"3,4","3,7",,,,,"3,8",,,"8,9","4,9","4,4",
city-1905.ru.html,1,,1,,,1,,,,,1,,,1,,,,,,1,,,,1,,,,,,,5550,4,7,City Hotel 1905,69," 8,9 ",city-1905.ru.html,,"3,9","3,6","4,1",,,,4,"3,9",,,,,"4,6",,"5,1","4,8","4,5","2,5",
radisson-royal-moscow.ru.html,,,1,,,1,,,,,1,,1,1,,,,,,,,,,,,1,1,,,,13806,5,7,Гостиница Рэдиссон Ройал,1940," 9,1 ",radisson-royal-moscow.ru.html,,"3,4","4,4","3,5",,,,"3,4","3,2",,"4,2",,,"3,9",,,"4,1","3,6","1,7",
grafskiy-on-lva-tolstogo.ru.html,,,1,,,,,,,,1,,,1,,,,,,1,,,1,,,1,,,,,8300,4,6,Отель Графский,764," 8,9 ",grafskiy-on-lva-tolstogo.ru.html,,"3,5",,"3,2",,,,3,"2,8",,"2,2",,,"3,3",,"5,7","2,9","2,3","1,7",
rombix-lounge.ru.html,,,1,,,1,,,,,1,,,1,,,,,,1,1,1,,,,,,,,,8900,4,7,,336," 9,4 ",rombix-lounge.ru.html,,"3,2","3,2","3,4",,,,"3,4","3,3",,,,,4,,"4,2","5,3",4,"2,1",
sheraton-palace-moscow.ru.html,,,1,,,1,,,,,1,,,1,,,,,,1,1,,,,,1,,,,,6480,5,7,,3157," 8,9 ",sheraton-palace-moscow.ru.html,,"2,5","2,6",3,,,,3,"3,1",,,,,"3,6",,"2,5","6,8","4,2","2,7",
doubletree-by-hilton-moscow-leningradsky-riverside.ru.html,,,1,,,1,,,,,1,,,1,,,,,,,1,,,,,1,1,,,,5760,4,7,DoubleTree by Hilton Moscow – Marina,1843," 9,1 ",doubletree-by-hilton-moscow-leningradsky-riverside.ru.html,,"11,6","6,6","12,2",,,,"12,1","12,2",,,,"3,2",,"7,7","10,5","13,7",,"11,4",
pr-myasnitsky.ru.html,1,,1,,,,,,,,1,,,1,,,,,,1,,,,1,,,,,,,12500,4,6,,108," 9,4 ",pr-myasnitsky.ru.html,,1,"5,7","1,2",,,,"1,3","1,6",,,,,"1,3",,"2,1","7,3","2,5",3,
imperia-city-moscow.ru.html,1,,,,,,,,,1,,,,1,,1,,1,,1,,,,,,,,,,,7000,-,6,,1035," 7,9 ",imperia-city-moscow.ru.html,,"5,1","4,9","5,1",,,,5,"4,8",,"4,6",,,"5,5",,,"3,7",5,"3,3",
salut.ru.html,,,1,,,1,,,,,1,,,1,,,,,,,1,,,,,1,1,,,,3400,4,7,Гостиница Салют,3343," 7,9 ",salut.ru.html,,"14,8",,"14,4",,,"11,8","14,3",14,,"9,8",,,"14,4",,,"8,4","13,2",13,
vorontsovsky.ru.html,1,,,,,1,,,,,,,,1,,,,,,1,1,,1,,,1,,,,,5000,4,7,Отель Воронцовский,536," 8,7 ",vorontsovsky.ru.html,,"3,8",,"3,3",,,,"3,3","3,3",,"4,9",,,"2,6",,"5,6","6,9","2,5","4,5",
moscow-grand.ru.html,,,1,,,1,,,,,1,,,1,,,,,,,1,,,,,1,1,,,,7560,5,7,,2680," 8,9 ",moscow-grand.ru.html,,"1,5","3,6","2,1",,,,2,"2,1",,,,,"2,7",,"2,2","6,5","3,3","2,1",
raikin-plaza.ru.html,,,1,,,1,,,,,,1,1,1,,,,,,1,,,1,,,,,,,,4000,4,7,,960," 8,8 ",raikin-plaza.ru.html,,4,"3,6","4,6",,"8,3",,"4,7","4,9",,,,,"5,1",,,"9,8","6,1","5,4",
volynskoe.ru.html,1,,,,,1,,,,,,,1,1,,,,,,1,,,1,1,,,,,,,7500,4,7,,746," 9,4 ",volynskoe.ru.html,,"9,6","9,4","9,5",,,,"9,4","9,2",,"6,6",,,"9,8",,,"4,4","8,9","7,7",
hyatt-regency-moscow-petrovsky-park.ru.html,,,,,,1,,,,,,1,,1,,,,,,1,1,,,,,1,1,,,,8190,5,7,,566," 9,2 ",hyatt-regency-moscow-petrovsky-park.ru.html,,"4,5",,5,,,,5,5,,8,,,"5,6",,"3,8",8,"6,1","4,5",
miasnitskii-kortiard.ru.html,1,,1,,,,,1,,,1,,,1,,,,,,1,,,,,,,,,,,9891,4,6,,180," 8,9 ",miasnitskii-kortiard.ru.html,,"0,8","5,7","0,9",,,,"1,1","1,3",,,,,"1,1",,"2,3",7,"2,3","2,7",
the-st-regis-moscow-nikolskaya.ru.html,,,1,,,1,,,,,,,1,1,,,,,,,,1,,,,1,1,,,,22302,5,7,The St. Regis Moscow Nikolskaya,412," 9,0 ",the-st-regis-moscow-nikolskaya.ru.html,,,"5,4","0,5",,,,"0,6","0,9",,"5,3",,,"0,9",,"2,5","6,6",2,"2,3",
historical-sovietsky.ru.html,,,,,,1,,,,,1,1,1,1,,,,,,1,,,1,,,,,,,,4700,4,7,,1432," 8,4 ",historical-sovietsky.ru.html,,"4,2",,"4,7",,,,"4,7","4,7",,"7,8",,,"5,3",,"3,6","7,8","5,8","4,2",
barin-residence-balchug-moskva.ru.html,1,,1,,,,,,,,1,,1,1,,,,,,1,,,,,,,,,,,7200,4,6,Barin Residence Balchug,225," 9,1 ",barin-residence-balchug-moskva.ru.html,,"1,5","6,4","0,9",,,,"0,9","0,8",,"4,3",,,,,"3,7","5,8","0,8","2,2",
